"GEOID","NAME","Population"
"17031814200","Census Tract 8142, Cook County, Illinois",7032
"17031811701","Census Tract 8117.01, Cook County, Illinois",3870
"17031816200","Census Tract 8162, Cook County, Illinois",4219
"17031813900","Census Tract 8139, Cook County, Illinois",6493
"17031814600","Census Tract 8146, Cook County, Illinois",5722
"17031815200","Census Tract 8152, Cook County, Illinois",6718
"17031550100","Census Tract 5501, Cook County, Illinois",6465
"17031560200","Census Tract 5602, Cook County, Illinois",1644
"17031560400","Census Tract 5604, Cook County, Illinois",1807
"17031150800","Census Tract 1508, Cook County, Illinois",4814
"17031151100","Census Tract 1511, Cook County, Illinois",5335
"17031160100","Census Tract 1601, Cook County, Illinois",2537
"17031160400","Census Tract 1604, Cook County, Illinois",4734
"17031171100","Census Tract 1711, Cook County, Illinois",4013
"17031190300","Census Tract 1903, Cook County, Illinois",5518
"17031803608","Census Tract 8036.08, Cook County, Illinois",7141
"17031804000","Census Tract 8040, Cook County, Illinois",4545
"17031804306","Census Tract 8043.06, Cook County, Illinois",5771
"17031804603","Census Tract 8046.03, Cook County, Illinois",6137
"17031804712","Census Tract 8047.12, Cook County, Illinois",5225
"17031804806","Census Tract 8048.06, Cook County, Illinois",3930
"17031804807","Census Tract 8048.07, Cook County, Illinois",5397
"17031804809","Census Tract 8048.09, Cook County, Illinois",4165
"17031819801","Census Tract 8198.01, Cook County, Illinois",5543
"17031820502","Census Tract 8205.02, Cook County, Illinois",5282
"17031820901","Census Tract 8209.01, Cook County, Illinois",5452
"17031822000","Census Tract 8220, Cook County, Illinois",4272
"17031822601","Census Tract 8226.01, Cook County, Illinois",4731
"17031822702","Census Tract 8227.02, Cook County, Illinois",3674
"17031824400","Census Tract 8244, Cook County, Illinois",1968
"17031824602","Census Tract 8246.02, Cook County, Illinois",6490
"17031825802","Census Tract 8258.02, Cook County, Illinois",6522
"17031827600","Census Tract 8276, Cook County, Illinois",3479
"17031827805","Census Tract 8278.05, Cook County, Illinois",2934
"17031828201","Census Tract 8282.01, Cook County, Illinois",4167
"17031809600","Census Tract 8096, Cook County, Illinois",3110
"17031810400","Census Tract 8104, Cook County, Illinois",5481
"17031804311","Census Tract 8043.11, Cook County, Illinois",8211
"17031804403","Census Tract 8044.03, Cook County, Illinois",6696
"17031804404","Census Tract 8044.04, Cook County, Illinois",5834
"17031804405","Census Tract 8044.05, Cook County, Illinois",3507
"17031805902","Census Tract 8059.02, Cook County, Illinois",6139
"17031806102","Census Tract 8061.02, Cook County, Illinois",3739
"17031806900","Census Tract 8069, Cook County, Illinois",5056
"17031808400","Census Tract 8084, Cook County, Illinois",4289
"17031827200","Census Tract 8272, Cook County, Illinois",4169
"17031827802","Census Tract 8278.02, Cook County, Illinois",3626
"17031828504","Census Tract 8285.04, Cook County, Illinois",6343
"17031828801","Census Tract 8288.01, Cook County, Illinois",5610
"17031829200","Census Tract 8292, Cook County, Illinois",5541
"17031829301","Census Tract 8293.01, Cook County, Illinois",4127
"17031340400","Census Tract 3404, Cook County, Illinois",1949
"17031360200","Census Tract 3602, Cook County, Illinois",1477
"17031190800","Census Tract 1908, Cook County, Illinois",6951
"17031191200","Census Tract 1912, Cook County, Illinois",4053
"17031210100","Census Tract 2101, Cook County, Illinois",4102
"17031220400","Census Tract 2204, Cook County, Illinois",2747
"17031240800","Census Tract 2408, Cook County, Illinois",1370
"17031243000","Census Tract 2430, Cook County, Illinois",2182
"17031250800","Census Tract 2508, Cook County, Illinois",2621
"17031251700","Census Tract 2517, Cook County, Illinois",1182
"17031818401","Census Tract 8184.01, Cook County, Illinois",3421
"17031816500","Census Tract 8165, Cook County, Illinois",4209
"17031420600","Census Tract 4206, Cook County, Illinois",1894
"17031440800","Census Tract 4408, Cook County, Illinois",1820
"17031460200","Census Tract 4602, Cook County, Illinois",2468
"17031480400","Census Tract 4804, Cook County, Illinois",5446
"17031520200","Census Tract 5202, Cook County, Illinois",3178
"17031520600","Census Tract 5206, Cook County, Illinois",2852
"17031560300","Census Tract 5603, Cook County, Illinois",3308
"17031560800","Census Tract 5608, Cook County, Illinois",5858
"17031580200","Census Tract 5802, Cook County, Illinois",3288
"17031838100","Census Tract 8381, Cook County, Illinois",1614
"17031838700","Census Tract 8387, Cook County, Illinois",3934
"17031838800","Census Tract 8388, Cook County, Illinois",3300
"17031839000","Census Tract 8390, Cook County, Illinois",9209
"17031839100","Census Tract 8391, Cook County, Illinois",7545
"17031839200","Census Tract 8392, Cook County, Illinois",2405
"17031839500","Census Tract 8395, Cook County, Illinois",1461
"17031839600","Census Tract 8396, Cook County, Illinois",1653
"17031839700","Census Tract 8397, Cook County, Illinois",4913
"17031839800","Census Tract 8398, Cook County, Illinois",2738
"17031839900","Census Tract 8399, Cook County, Illinois",4452
"17031840000","Census Tract 8400, Cook County, Illinois",2794
"17031300900","Census Tract 3009, Cook County, Illinois",4223
"17031301200","Census Tract 3012, Cook County, Illinois",4417
"17031031100","Census Tract 311, Cook County, Illinois",4720
"17031050100","Census Tract 501, Cook County, Illinois",2736
"17031050700","Census Tract 507, Cook County, Illinois",1742
"17031062100","Census Tract 621, Cook County, Illinois",3722
"17031620100","Census Tract 6201, Cook County, Illinois",4785
"17031630800","Census Tract 6308, Cook County, Illinois",6781
"17031640700","Census Tract 6407, Cook County, Illinois",3385
"17031650100","Census Tract 6501, Cook County, Illinois",4389
"17031670500","Census Tract 6705, Cook County, Illinois",922
"17031671900","Census Tract 6719, Cook County, Illinois",1125
"17031681400","Census Tract 6814, Cook County, Illinois",2407
"17031690900","Census Tract 6909, Cook County, Illinois",4273
"17031691400","Census Tract 6914, Cook County, Illinois",3160
"17031710500","Census Tract 7105, Cook County, Illinois",4336
"17031711100","Census Tract 7111, Cook County, Illinois",2351
"17031711200","Census Tract 7112, Cook County, Illinois",4949
"17031730700","Census Tract 7307, Cook County, Illinois",2444
"17031770400","Census Tract 7704, Cook County, Illinois",4503
"17031802300","Census Tract 8023, Cook County, Illinois",5513
"17031802701","Census Tract 8027.01, Cook County, Illinois",6911
"17031802802","Census Tract 8028.02, Cook County, Illinois",6578
"17031809500","Census Tract 8095, Cook County, Illinois",4119
"17031290900","Census Tract 2909, Cook County, Illinois",3857
"17031310400","Census Tract 3104, Cook County, Illinois",1286
"17031310600","Census Tract 3106, Cook County, Illinois",4555
"17031570100","Census Tract 5701, Cook County, Illinois",1280
"17031580800","Census Tract 5808, Cook County, Illinois",2261
"17031611000","Census Tract 6110, Cook County, Illinois",823
"17031826401","Census Tract 8264.01, Cook County, Illinois",3990
"17031826901","Census Tract 8269.01, Cook County, Illinois",1822
"17031827000","Census Tract 8270, Cook County, Illinois",3995
"17031828300","Census Tract 8283, Cook County, Illinois",3203
"17031740300","Census Tract 7403, Cook County, Illinois",4949
"17031530600","Census Tract 5306, Cook County, Illinois",2403
"17031804607","Census Tract 8046.07, Cook County, Illinois",7239
"17031804709","Census Tract 8047.09, Cook County, Illinois",6003
"17031805001","Census Tract 8050.01, Cook County, Illinois",4918
"17031805110","Census Tract 8051.10, Cook County, Illinois",4462
"17031805201","Census Tract 8052.01, Cook County, Illinois",3963
"17031805202","Census Tract 8052.02, Cook County, Illinois",4376
"17031830202","Census Tract 8302.02, Cook County, Illinois",3563
"17031828402","Census Tract 8284.02, Cook County, Illinois",3799
"17031828601","Census Tract 8286.01, Cook County, Illinois",4026
"17031830003","Census Tract 8300.03, Cook County, Illinois",7940
"17031830100","Census Tract 8301, Cook County, Illinois",3399
"17031830300","Census Tract 8303, Cook County, Illinois",4473
"17031640300","Census Tract 6403, Cook County, Illinois",6655
"17031650500","Census Tract 6505, Cook County, Illinois",4619
"17031670400","Census Tract 6704, Cook County, Illinois",1689
"17031680900","Census Tract 6809, Cook County, Illinois",3302
"17031681100","Census Tract 6811, Cook County, Illinois",2595
"17031681300","Census Tract 6813, Cook County, Illinois",2418
"17031690400","Census Tract 6904, Cook County, Illinois",2939
"17031700200","Census Tract 7002, Cook County, Illinois",6521
"17031711500","Census Tract 7115, Cook County, Illinois",2503
"17031730600","Census Tract 7306, Cook County, Illinois",3758
"17031740200","Census Tract 7402, Cook County, Illinois",6640
"17031750100","Census Tract 7501, Cook County, Illinois",3743
"17031823605","Census Tract 8236.05, Cook County, Illinois",4210
"17031823803","Census Tract 8238.03, Cook County, Illinois",6510
"17031824506","Census Tract 8245.06, Cook County, Illinois",6897
"17031832900","Census Tract 8329, Cook County, Illinois",2082
"17031833000","Census Tract 8330, Cook County, Illinois",4480
"17031833100","Census Tract 8331, Cook County, Illinois",7436
"17031833300","Census Tract 8333, Cook County, Illinois",2728
"17031819000","Census Tract 8190, Cook County, Illinois",4573
"17031819300","Census Tract 8193, Cook County, Illinois",2694
"17031820400","Census Tract 8204, Cook County, Illinois",5643
"17031820800","Census Tract 8208, Cook County, Illinois",3882
"17031170100","Census Tract 1701, Cook County, Illinois",1931
"17031170700","Census Tract 1707, Cook County, Illinois",3295
"17031190100","Census Tract 1901, Cook County, Illinois",2453
"17031220500","Census Tract 2205, Cook County, Illinois",2503
"17031222700","Census Tract 2227, Cook County, Illinois",2564
"17031231200","Census Tract 2312, Cook County, Illinois",6504
"17031231500","Census Tract 2315, Cook County, Illinois",5586
"17031240500","Census Tract 2405, Cook County, Illinois",2425
"17031240900","Census Tract 2409, Cook County, Illinois",981
"17031242200","Census Tract 2422, Cook County, Illinois",3670
"17031243500","Census Tract 2435, Cook County, Illinois",3601
"17031250500","Census Tract 2505, Cook County, Illinois",7242
"17031251000","Census Tract 2510, Cook County, Illinois",1022
"17031190900","Census Tract 1909, Cook County, Illinois",2235
"17031200300","Census Tract 2003, Cook County, Illinois",1919
"17031110100","Census Tract 1101, Cook County, Illinois",5514
"17031110200","Census Tract 1102, Cook County, Illinois",3095
"17031810600","Census Tract 8106, Cook County, Illinois",4386
"17031810900","Census Tract 8109, Cook County, Illinois",6375
"17031811301","Census Tract 8113.01, Cook County, Illinois",4510
"17031811302","Census Tract 8113.02, Cook County, Illinois",4154
"17031812100","Census Tract 8121, Cook County, Illinois",4721
"17031813500","Census Tract 8135, Cook County, Illinois",6434
"17031813600","Census Tract 8136, Cook County, Illinois",5422
"17031829600","Census Tract 8296, Cook County, Illinois",2847
"17031829700","Census Tract 8297, Cook County, Illinois",4247
"17031829800","Census Tract 8298, Cook County, Illinois",6220
"17031830400","Census Tract 8304, Cook County, Illinois",4335
"17031800700","Census Tract 8007, Cook County, Illinois",4779
"17031802503","Census Tract 8025.03, Cook County, Illinois",6302
"17031801701","Census Tract 8017.01, Cook County, Illinois",3890
"17031801902","Census Tract 8019.02, Cook County, Illinois",3474
"17031808600","Census Tract 8086, Cook County, Illinois",2080
"17031310500","Census Tract 3105, Cook County, Illinois",1491
"17031310900","Census Tract 3109, Cook County, Illinois",5215
"17031843800","Census Tract 8438, Cook County, Illinois",1520
"17031843900","Census Tract 8439, Cook County, Illinois",3430
"17031980100","Census Tract 9801, Cook County, Illinois",0
